Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"ReCall.Wang.play",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"ReCall.Wang.receive",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"ReCall.Ye",5,5,5,1,40,6,16,18,1,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,43,7,18,3,11,18,,,,10,16,5,11,,,,,,5,5,5,1,,1,2,,0,1.00,5,5,5,1
Public Method,"ReCall.Ye.accept",,,,,,,,,,,,,,,,,,,,,,,,,,4,40,6,16,2,11,18,2,8,1,10,15,4,11,5,5,5,1,2,,,,,0,,2,0,,1.13,5,5,5,1
File,"Restaurant.java",2,2,2,1,18,1,13,4,,,,1,1,0,4,,4,3,1,4,,0,0,0,4,,113,16,60,17,29,37,,,,25,36,19,17,,,,,,7,7,7,1,,,2,,,0.62,11,11,11,4
File,"RestaurantHutoolProp.java",2,2,2,1,13,0,10,1,,,,1,1,0,4,,4,3,1,4,,0,0,0,4,,70,8,53,19,21,9,,,,24,34,21,13,,,,,,5,5,5,1,,,2,,,0.17,9,9,9,4
File,"RestaurantHutoolSettings.java",2,2,2,1,17,0,10,6,,,,1,1,0,4,,4,3,1,4,,0,0,0,4,,86,8,51,17,21,27,,,,22,32,19,13,,,,,,5,5,5,1,,,2,,,0.53,9,9,9,4
File,"Seasoning.java",0,0,0,0,0,0,0,0,,,,5,0,0,0,,0,0,0,0,,0,0,0,0,,16,5,7,6,0,8,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,1.14,0,0,0,0
File,"SetD.java",1,1,1,1,5,0,4,0,,,,4,0,0,13,,17,17,2,17,,16,0,0,1,,112,18,82,35,26,12,,,,25,46,24,22,,,,,,2,2,2,1,,,1,,,0.15,17,17,17,13
File,"SetD.java",1,1,1,1,5,0,4,0,,,,4,0,0,13,,17,17,2,17,,16,0,0,1,,113,18,82,35,26,13,,,,25,46,24,22,,,,,,2,2,2,1,,,1,,,0.16,17,17,17,13
File,"ShadowCartesian.java",1,1,1,1,5,0,4,1,,,,1,0,0,2,,2,2,2,2,,1,0,0,1,,26,7,14,7,4,5,,,,7,10,6,4,,,,,,1,1,1,1,,,0,,,0.36,2,2,2,2
File,"ShapeD.java",1,1,1,1,4,0,3,1,,,,6,0,0,10,,14,14,5,14,,7,0,0,7,,83,14,59,32,11,13,,,,21,37,26,11,,,,,,1,1,2,1,,,0,,,0.22,10,10,11,10
File,"Stranger.java",1,1,1,1,7,0,4,2,,,,2,0,0,5,,5,5,1,5,,0,1,0,4,,37,6,23,8,9,8,,,,8,14,8,6,,,,,,1,1,1,1,,,0,,,0.35,5,5,5,5
File,"SuanTaiChaoRou.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"SubstD.java",1,1,1,1,6,0,5,1,,,,3,0,0,6,,7,7,3,7,,0,0,0,7,,63,8,48,17,17,7,,,,16,28,14,14,,,,,,3,3,3,3,,,2,,,0.15,9,9,9,8
File,"SubstVExt.java",1,1,1,1,6,0,5,0,,,,2,0,0,5,,5,5,3,5,,0,0,0,5,,51,6,40,14,16,5,,,,15,24,11,13,,,,,,3,3,3,3,,,2,,,0.13,8,8,8,7
File,"TangCuLiYu.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Test.java",1,1,1,1,4,0,4,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,9,2,7,4,2,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Test.java",1,1,1,1,8,1,7,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,3,10,6,5,0,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Test.java",1,1,1,1,4,0,4,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,9,2,7,4,2,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Test.java",1,1,1,1,14,2,7,5,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,3,10,6,5,5,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,0.50,1,1,1,1
File,"TestMain.java",1,1,1,1,4,0,4,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,8,1,7,4,2,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"TestPieD.java",1,1,1,1,3,0,3,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,7,1,6,3,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"TestTYangRouChuan.java",1,1,1,1,14,3,9,2,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,20,6,12,3,7,2,,,,8,10,3,7,,,,,,1,1,1,1,,,0,,,0.17,1,1,1,1
File,"TestThat.java",1,1,1,1,12,2,10,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,16,3,13,3,8,0,,,,6,8,3,5,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"TreeD.java",1,1,1,1,4,0,3,1,,,,13,0,0,31,,43,43,7,43,,21,0,0,22,,272,61,178,91,40,37,,,,56,102,64,38,,,,,,2,2,2,1,,,1,,,0.21,33,33,35,31
File,"TreeD.java",1,1,1,1,4,0,3,1,,,,11,0,0,25,,29,29,7,29,,7,0,0,22,,234,59,146,69,37,31,,,,43,82,48,34,,,,,,2,2,2,1,,,1,,,0.21,28,28,29,25
File,"Union.java",1,1,1,1,4,0,3,0,,,,3,0,0,4,,5,5,2,5,,2,0,0,3,,33,6,24,12,5,3,,,,9,16,11,5,,,,,,1,1,2,1,,,0,,,0.13,4,4,5,4
File,"Wang.java",1,1,1,1,8,0,4,4,,,,2,0,0,5,,5,5,1,5,,0,1,0,4,,48,6,23,8,9,19,,,,8,14,8,6,,,,,,1,1,1,1,,,0,,,0.83,5,5,5,5
File,"YangRouChuan.java",1,1,1,1,3,0,3,0,,,,7,0,0,19,,21,21,5,21,,18,0,0,3,,130,24,87,42,21,27,,,,27,53,34,19,,,,,,1,1,1,1,,,0,,,0.31,19,19,19,19
File,"YangRouChuan.java",1,1,1,1,4,0,3,1,,,,5,0,0,15,,17,17,3,17,,10,0,0,7,,115,22,72,37,15,28,,,,21,41,26,15,,,,,,1,1,1,1,,,0,,,0.39,15,15,15,15
File,"Ye.java",5,5,5,1,40,6,16,18,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,45,8,19,4,11,18,,,,11,17,6,11,,,,,,5,5,5,1,,,2,,,0.95,5,5,5,1
Package,"YeRestaurant",2,2,2,1,16,0,11,4,,,,4,3,0,,4,,10,3,13,,1,0,0,12,,274,33,168,56,71,73,,,,73,105,62,43,,,,,,7,7,7,1,,,2,,,0.43,29,29,29,12
Package,"YeRestaurant.Cai",1,1,1,1,3,0,3,0,,,,6,0,0,,6,,6,0,6,,0,0,0,6,,60,12,48,30,6,0,,,,18,30,24,6,,,,,,1,1,1,1,,,0,,,0.00,6,6,6,6
